SCHOOL_YEAR,DIVISION NUMBER,DIVISION NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL ACCREDITATION RATING
2009-2010,1,Accomack County,701,Accawmacke Elementary,Fully Accredited
2009-2010,1,Accomack County,540,Arcadia High,Fully Accredited
2009-2010,1,Accomack County,704,Arcadia Middle,Fully Accredited
2009-2010,1,Accomack County,80,Chincoteague Elementary,Fully Accredited
2009-2010,1,Accomack County,580,Chincoteague High,Fully Accredited
2009-2010,1,Accomack County,600,Kegotank Elementary,Fully Accredited
2009-2010,1,Accomack County,702,Metompkin Elementary,Fully Accredited
2009-2010,1,Accomack County,70,Nandua High,Fully Accredited
2009-2010,1,Accomack County,703,Nandua Middle,Fully Accredited
2009-2010,1,Accomack County,590,Pungoteague Elementary,Fully Accredited
2009-2010,1,Accomack County,530,Tangier Combined,Fully Accredited
2009-2010,2,Albemarle County,160,Agnor-Hurt Elementary,Fully Accredited
2009-2010,2,Albemarle County,1060,Albemarle County Community Public Charter School,Accredited with Warning
2009-2010,2,Albemarle County,880,Albemarle High,Fully Accredited
2009-2010,2,Albemarle County,1053,Baker-Butler Elementary,Fully Accredited
2009-2010,2,Albemarle County,900,Benjamin F. Yancey Elementary,Fully Accredited
2009-2010,2,Albemarle County,100,Broadus Wood Elementary,Fully Accredited
2009-2010,2,Albemarle County,941,Brownsville Elementary,Fully Accredited
2009-2010,2,Albemarle County,340,Crozet Elementary,Fully Accredited
2009-2010,2,Albemarle County,10,Hollymead Elementary,Fully Accredited
2009-2010,2,Albemarle County,950,Jack Jouett Middle,Fully Accredited
2009-2010,2,Albemarle County,69,Jackson P. Burley Middle,Fully Accredited
2009-2010,2,Albemarle County,942,Joseph T. Henley Middle,Fully Accredited
2009-2010,2,Albemarle County,20,Leslie H. Walton Middle,Fully Accredited
2009-2010,2,Albemarle County,40,Mary Carr Greer Elementary,Fully Accredited
2009-2010,2,Albemarle County,250,Meriwether Lewis Elementary,Fully Accredited
2009-2010,2,Albemarle County,1052,Monticello High,Fully Accredited
2009-2010,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,Fully Accredited
2009-2010,2,Albemarle County,890,Murray High,Fully Accredited
2009-2010,2,Albemarle County,150,Paul H. Cale Elementary,Fully Accredited
2009-2010,2,Albemarle County,540,Red Hill Elementary,Fully Accredited
2009-2010,2,Albemarle County,30,Scottsville Elementary,Fully Accredited
2009-2010,2,Albemarle County,920,Stone Robinson Elementary,Fully Accredited
2009-2010,2,Albemarle County,240,Stony Point Elementary,Fully Accredited
2009-2010,2,Albemarle County,910,Virginia L. Murray Elementary,Fully Accredited
2009-2010,2,Albemarle County,140,Western Albemarle High,Fully Accredited
2009-2010,2,Albemarle County,930,Woodbrook Elementary,Fully Accredited
2009-2010,101,Alexandria City,120,Charles Barrett Elementary,Fully Accredited
2009-2010,101,Alexandria City,160,Cora Kelly Magnet Elementary,Fully Accredited
2009-2010,101,Alexandria City,110,Douglas Macarthur Elementary,Fully Accredited
